Name,Description,Add,Region,Town,Tel,Px,Py,ParkingSpace,Type,Zone
九份風箏博物館民宿,位於新北市的民宿,新北市瑞芳區坑尾巷20號,新北市,瑞芳區,886-2-24967709,121.84394099999999,25.110592999999998,0.0,民宿,E
幸福圓點民宿,幸福圓點位於同時兼具明媚景色、悠閒氣息和便利商業機能的新北淡水，位置座落於便捷的淡水鬧區，餐廳、百貨等多間特色商家齊聚周邊，旅客們輕鬆便能享有最大程度的絕對便利。幸福圓點。一進門，清新的湖水綠牆面繽紛洋溢，走入大廳瞬間感染了活潑溫馨的氣息；旅人們可以在此暫時歇息、轉換情緒，停駐匆促繁忙的生活步伐，轉換緩慢而優雅旅人心境。民宿主要提供明亮、新穎的二人套房，寬敞整潔的房間與極具設計感的家具配置，營造現代化的時尚空間，絕對讓您輕鬆獲得時尚居家品味，歡迎您到淡水遊玩、到『幸福圓點』做客～,新北市淡水區英專路21巷30號2樓,新北市,淡水區,886-2-26220007,121.444492,25.170037,,民宿,N
湯語双泉民宿,位於新北市的民宿,新北市金山區環金路295號,新北市,金山區,886-2-24081789,121.631363,25.222557000000002,15.0,民宿,N
皇品時尚旅店,位於新北市的旅館,新北市板橋區民族路34巷13號1至5樓,新北市,板橋區,886-2-89648787,121.462457,25.009210999999997,0.0,飯店/旅店,W
石山水禪民宿,,新北市瑞芳區山尖路54號,新北市,瑞芳區,886-2-24961096,121.85427299999999,25.115078,,民宿,E
石門休閒民宿,,新北市石門區石門里中央路1-25號,新北市,石門區,886-2-26380091,121.56515900000001,25.291296,,民宿,N
山海觀民宿,位於新北市的民宿,新北市瑞芳區基山街217號,新北市,瑞芳區,886-2-24971568,121.843244,25.108079999999998,,民宿,E
新八里汽車旅館,本館位於交通便利的關渡橋頭，往八里方向有八里渡船頭、八里左岸、十三行博物館、廖添丁廟、八仙樂園等景點，往淡水方向有淡水老街、紅毛城、漁人碼頭等景點，二大旅遊路線讓您方便就近遊玩，是您絕無僅有的選擇。 為了方便來賓住宿，我們設有免費的停車場及專屬車庫，電梯直達房間，絕對滿足來賓私密的感覺。本館堅持完美的舒適性及安全性，採用RC建築結構外觀，幻彩按摩浴缸、獨立蒸氣花灑淋浴、烤箱、情趣椅、浴室專屬液晶TV，反偷拍偵測系統及餐點等服務，提供了最精緻的休閒住宿品質，讓您的身心完全自由自在解放。全體員工，以客為尊，秉持著貼心、用心、安心的宗旨，溫馨儒家並體貼照顧，以滿足客戶的最大需求為服務宗旨。以全新的風貌、完善的服務，專業精緻的格局、體貼入微的心，為您隔絕都會的喧嘩、遠離塵囂，以體貼的心、熱情的服務，為您精心設計各項現代化設備溫馨典雅，充滿浪漫的休憩天堂。,新北市八里區頂寮一街12號,新北市,八里區,886-2-26188866,121.45199299999999,25.124454,0.0,汽車旅館,W
芬多精加香汽車旅館,位於新北市的旅館,新北市汐止區工建路206號,新北市,汐止區,886-2-26476858,121.63637299999999,25.06221,,汽車旅館,E
樓仔厝咖啡民宿,位於新北市的民宿,新北市平溪區十分街74巷3號,新北市,平溪區,886-2-24958602,121.776366,25.041778,0.0,民宿,E
九份岩屋民宿,位於新北市的民宿,新北市瑞芳區崙頂路137號,新北市,瑞芳區,886-2-24969454,121.844228,25.107098999999998,0.0,民宿,E
紅蘋果旅館,位於新北市的旅館,新北市永和區中山路1段331號B1-6樓,新北市,永和區,886-2-29279118,121.506077,25.006303,0.0,飯店/旅店,W
趣淘漫旅-台北 Hotel Cham Cham Taipei,HOTEL CHAM CHAM –TAIPEI位在大台北新板特區，與板橋凱撒大飯店、知名國際品牌酒店共同組成新北市最受矚目的飯店群，同時更具有五鐵共構的交通便利優勢，台北趣淘漫旅樓高20層，共有337間客房，同時與板橋凱撒、國際知名酒店及大型宴會場地相連結，除了能享受飯店內部的設施外，還可共享周邊飯店所帶來的優質旅遊環境，以最享樂的價格感受國際級的服務與設施。來到 HOTEL CHAM CHAM，可以自由選擇想要的住宿玩樂方式，從CHECK-IN、房型、音樂、書籍或交通工具都可自由選、自在配，四通八達的地理位置，更可在大台北或是整個台灣自由自在移動，充份享受旅遊的樂趣並蓄積無限的能量。,新北市板橋區中山路一段139號,新北市,板橋區,886-2-89516686,121.463462,25.011262,0.0,飯店/旅店,W
海華休閒別墅民宿,浪漫爵士樂與夢幻海景的相遇。這裡是一個曾經被世人所遺忘的淨土，【海華】以自己的哲學塑造出獨特的低調奢華異國風情，若你妳厭倦了都市的喧囂和紛擾，也渴望著恬靜的休閒渡假氣息，不妨可以穿著輕便的服裝，帶著愉快的心情來這走走。,新北市萬里區玉田路52號,新北市,萬里區,886-2-24926701,121.680793,25.19385,0.0,民宿,N
三芝小白屋花園民宿,新北市環保旅店「三芝小白屋」是全台首家無印良品主題民宿，是知名浪漫愛情偶像劇【女王的誕生】及【回到愛以前】拍攝景點。地點位於新北市三芝芝柏藝術村內，李天祿布袋文物館附近，交通方便。三芝小白屋花園民宿是一間精品名宿，一天只招待2~10位客人。總共有三個房間，不論住幾位客人，都是包棟，享受百分百隱私空間。✿ 溫馨舒適住宿空間：陽光屋，柚木地板，書香壁爐客廳，MUJI日本無印良品原木家具及寢用織品。✿ 花灑沐浴泡湯樂：L'OCCITANE法國頂級芳香沐浴用品，純棉毛巾，恆溫花灑乾濕分離洗石子浴池。✿ 多媒體娛樂：Sony BRAVIA 42吋智慧型連網電視，藍光DVD，WiFi無線上網，管家精選好片。✿ Nespresso義大利頂級精品膠囊咖啡機，TWG頂級精品世界名茶1837黑茶，Evian法國礦泉水。✿ Clean Up日本第一名廚環保不鏽鋼頂級廚具+MUJI日本無印良品原木餐桌椅+全套鍋具及餐具。走入幸福祕境，探索對味空間，遇見陽光香草花園，找到家的感覺，找到人生小確幸。 喝杯咖啡，壁爐取暖，沙發看書，躺椅小睡，騎車兜風，看山看海，深度慢遊，身心舒暢。 微旅行，享受鄉村度假的安靜優閒自在，體驗簡單自然純淨的新森活。,新北市三芝區芝柏路35號,新北市,三芝區,886-2-86352326,121.511651,25.255916,,民宿,N
金色年代旅店,金色年代旅店座落在府中商圈，距離捷運府中站步行約10分鐘；周邊有湳雅夜市、板橋林家花園、板橋慈惠宮、市政府休閒廣場、板橋大遠百、華納威秀秀泰影城等知名美食商城與景點，府中商圈更是許多自助旅客首選之都。金色年代旅店，是許多板橋在地人的回憶，我們在2016年陸續重新為內裝添上新衣，原木設計感的家具，將重新找回屬於房間室內溫度，期待與您相遇的每一刻。能隨時提供安全、舒適的住宿品質，是我們的主要方針；全館客房6~13坪的室內空間非常寛敞，住宿皆備有免費停車場、免費WIFI無線上網，客房內備品有免費瓶裝水、茶包、咖啡包、衛浴備品等，一個都市中離塵不離城的家，貼心的為每位旅人提供有溫度的服務，我們期待與您每次的相聚，並讓您留下更多美好回憶。,新北市板橋區重慶路66號11至13樓,新北市,板橋區,886-2-29647599,121.461666,25.006422,0.0,飯店/旅店,W
華園旅社,位於新北市的旅館,新北市三重區正義北路8號2至4樓,新北市,三重區,886-2-29714231,121.497469,25.062783,0.0,旅社,W
馥俐旅店,位於新北市的旅館,"新北市板橋區東門街10號2至5樓,12號1至5樓",新北市,板橋區,886-2-22722625,121.45789199999999,25.009,0.0,飯店/旅店,W
柯達大飯店(永和店),新都心旅憩 City Life Traveling Mind立地於大台北的都會生活商圈的柯達永和店，為迎合都會商業及旅遊的多元需求，特以商務與休閒功能複合機能為特色，以多功能的空間規畫提案，在商務住房之外，也滿足趣味遊樂的旅居體驗。時尚簡約的設計風格，讓寬敞的客房益加舒適，King-size大床、Spa按摩浴缸、完備的影音系統，讓您駐足的分秒都格外精彩。坐落於永和市中心，距離捷運頂溪站步行約10分鐘，北二高約25分鐘車程，交通相當便利。飯店周遭更擁有各知名景點一中和烘爐地、樂華夜市、永和豆漿、世界宗教博物館、比漾廣場。四通八達的交通位置無論洽商、購物、觀光，都帶給您最大的便利。,新北市永和區永和路1段103號,新北市,永和區,886-2-29239999,121.51357800000001,25.007732,0.0,飯店/旅店,W
日皇民宿,位於新北市的民宿,新北市萬里區萬里加投35之3號,新北市,萬里區,886-2-24082669,121.645618,25.213644,,民宿,N
明園賓館,位於新北市的旅館,新北市樹林區博愛街6號4樓,新北市,樹林區,886-2-26835057,121.427613,24.993064999999998,,旅社,W
雨天晴民宿,位於新北市的民宿,新北市瑞芳區烏勢巷146號,新北市,瑞芳區,886-2-24961828,121.84581399999999,25.109199,,民宿,E
中信旅店,位於新北市的旅館,新北市永和區竹林路41號7至9樓,新北市,永和區,886-2-89250688,121.51793300000001,25.014253,0.0,飯店/旅店,W
三才靈芝農場民宿,日治礦區靈芝栽培農場(合法民宿)，搭配水晶能量體驗美容健康食品另類旅遊！石碇的示範農場供應農特產美食、健康蔬菜水果、香草養生民宿、團體菌類栽培教育、專業觀光旅遊行程、礦石能量保健與古董天珠寶貝珍藏雕刻展覽。台北石碇三才靈芝生態農場民宿為北部地區唯一靈芝觀摩教學、休閒渡假、膳食，結合美容、健康養生的好地方。步入三才靈芝休閒農場，可以讓來訪者親自體會能量、靈氣的奧妙，也可以和三才靈芝農場的主人閒話健康人生哲學、品味御皇靈芝膳食、觀摩靈芝的成長過程，探討靈芝的微妙精華，享受鄉野情懷、踏單車、採香草、感受碧綠如茵、開懷輕鬆的心情。,新北市石碇區中民里18重溪52之1號,新北市,石碇區,886-2-26633995,121.67479099999998,25.013603,100.0,民宿,E
九閣商旅,位於新北市的旅館,新北市新店區中央路238號,新北市,新店區,886-2-22182118,121.52918400000001,24.972586,0.0,飯店/旅店,S
美芙精品旅館,在車馬暄闐的中和中正路上，有一處神秘且浪漫的世外桃源，讓您充分抒解心靈與身體上的疲勞，屬於您的專屬空間感受清靜美好與塵世隔絕的舒適感。30種不同風格的情境空間，備有37吋液晶電視，VOD隨選電影系統，乾濕分離的大浴室，同時提供有線、無線寬頻網路免費上網，並配有一按立即可以使用的蒸氣設備，豪華大型的按摩浴缸，安全電熱式烤箱，奈米牛奶浴。為了提昇男女之間的浪漫情調，精緻套房內備有不同的情趣設備(電動情趣椅、電動八爪椅、軟墊床、騎馬機)，豐富的房內設備卻有著物超所值的價格，且能享受到最優質的住房品質，絕對是您的最佳首選。鄰近交通要道北二高中和交流道與高架橋，因此不管由北或南開車過來都非常便利。。,新北市中和區中正路1184號,新北市,中和區,886-2-22232399,121.480974,25.010181,0.0,飯店/旅店,W
黎明旅館,位於新北市的旅館,新北市新店區北新路3段51之1號4樓,新北市,新店區,886-2-29119188,121.541418,24.981013,0.0,飯店/旅店,S
黃玉民宿,位於新北市的民宿,新北市金山區月眉5之7號,新北市,金山區,886-937-056209,121.637524,25.216957999999998,,民宿,N
鄭家賞海樓民宿,位於新北市的民宿,新北市瑞芳區中山巷8號,新北市,瑞芳區,886-2-24976883,121.856431,25.108566,,民宿,E
新加州景觀旅館,位於新北市的旅館,新北市新店區北新路1段1號,新北市,新店區,886-2-29161717,121.53742199999999,24.958785,0.0,飯店/旅店,S
安盛商務旅館,"爺爺的話.安盛開始成長茁壯這是關於我們的旅館故事。二十年前,二十張路。爺爺開啟了一間簡單的旅館。理念很簡單…來這裡,像回家。那時爺爺,在館內放了一隻很大的孔雀雕朔,是旅館的精神象徵,要讓這裡安穩地、盛開不息。簡單旅館平靜的座落在二十張路,時代不同,溫情與信念卻可以不變。我們像當年一樣,為旅人提供柔軟被臥與暖胃餐點,在溫度上多了點創意和摩登,在美妙生活概念上添加了新想法。我們喜歡有溫度空間,我們和你一樣喜歡旅行,我們和你一樣喜歡藝文創作,我們和你一樣喜歡精緻烘焙。於是,它們也住進了旅館裡頭。親愛的旅人,HôTEL 20 Allée和你道聲Hello!歡迎下禢;我們,交個朋友。",新北市新店區二十張路31號,新北市,新店區,886-2-29101477,121.53840100000001,24.981689000000003,0.0,飯店/旅店,S
豪麗旺旅館,位於新北市的旅館,新北市板橋區南雅東路46號,新北市,板橋區,886-2-89682118,121.45426299999998,25.006567999999998,,旅社,W
金國旅社,位於新北市的旅館,新北市三重區正義北路4號6樓,新北市,三重區,886-2-29828158,121.49738799999999,25.062499,0.0,旅社,W
景安精品旅館,"中和景安精品旅館位於中和市中心，與中和捷運系統及北二高中和交流道比鄰，距離台北市中心、桃園中正國際機場交通往來十分便利。想要盡情體驗台北市的精彩，中和景安精品旅館絕對是您的最佳旅伴。在這裡，旅客們可輕鬆前往市區內各大旅遊、購物、餐飲地點。對於喜歡冒險的遊客來說，樂華夜市,青年公園,自來水園區再合適不過了。 ※位置緊鄰捷運南勢角線景安站,步行8分鐘即到達景安精品旅館。 明亮的現代設計風格，簡約及開朗的氣息成為洗滌心靈的空間，精心為商旅人仕設想齊全，提供賓客舒適休憩空間。 典雅大方及精心設計的陳設，營造出明亮舒適的感受。精緻典雅，亮麗耀眼的內部設計，營造出明亮、溫馨的享受空間，熱誠用心，舒適宜人的接待，全然享受貴賓級的禮遇。",新北市中和區明禮街32號2至9樓,新北市,中和區,886-2-22438989,121.504446,24.996185999999998,0.0,飯店/旅店,W
九份朵拉民宿,"進入「九份朵拉民宿」，旅人輕輕推開老式屋子的古舊木門，那迎接而來的是木門破舊的輾軋聲~剎那間有一份舊物牽繫的感懷~古老昏黃的角落一盞光影亮起，牆邊泛黃的照片一個「離家的女孩」，騎著三輪車像似三毛的女主人，投射著旅人流浪歸返的心情。石頭壁上女主人朵拉的畫作中...「燈拋的光影」與「坑洞裡的椅條仔」，敘述著過去九份礦工在黑壓壓洞裏鑿金的日子，畫作在老屋石頭壁相襯下，流洩著時間的錯落及歲月錘鍊的青春旁白..一樓設備：私人小庭院花園、客廳、廚房(早餐DIY：吐司，鮪魚三明治，雞蛋，果醬，奶粉，麥片咖啡，紅茶)、浴室(洗面乳,沐浴乳,洗髮精,吹風機)二樓設備：主臥室、起居室、次臥室(影片視聽,音響,閱讀書籍與雜誌)。 ※請自備牙刷、毛巾等盥洗用具※室內視聽設備提供投影機、DVD、聽音樂、戶外景觀公園盪鞦韆、私人小庭院花園、廚房、提供WiFi無線上網",新北市瑞芳區佛堂巷61號,新北市,瑞芳區,886-905-268527,121.841825,25.106479999999998,,民宿,E
新園大旅社,位於新北市的旅館,新北市三重區重新路5段592號2至4樓,新北市,三重區,886-2-22782137,121.46938999999999,25.045192999999998,0.0,旅社,W
戀晴MOTEL,位於新北市的旅館,新北市泰山區楓樹街35號,新北市,泰山區,886-2-29009797,121.43515500000001,25.064393,0.0,汽車旅館,W
閒情民宿,,新北市瑞芳區佛堂巷5號,新北市,瑞芳區,886-2-24970685,121.841503,25.106676,,民宿,E
悅池精品旅館,悅 納您的需求與喜悅池 水噴泉迎接您的到來精 緻貼心的服務與笑容品 味時尚的空間與色彩館 內全方位的隱密與安全製造浪漫 ♥ 慵懶依戀,新北市中和區立德街299號,新北市,中和區,886-2-22211234,121.48330800000001,25.009619,0.0,飯店/旅店,W
驛宿鶯歌民宿,鶯歌的陶瓷、三峽的藍染、老街的風情，三鶯地區擁有全台最濃厚的文化氣息！【驛宿鶯歌民宿】為新北市鶯歌區唯一取得民宿經營執照的合法民宿，住宿有保障，安全又放心！我們希望提供一種「家」的溫馨感覺給前來住宿的旅人，溫馨又寧靜的居住品質，讓您忘記旅途的疲累，以窗外的湖光山色、蟬鳴蛙叫，一掃生活中的吵雜與緊張，讓您身處大台北地區卻能輕鬆接近寶貴的大自然，感受恬靜放鬆的鄉村生活，親身體驗真正的民宿風情。四層樓的日式透天別墅，大坪數的使用空間，備有４房３廳及車庫， 親朋好友闔家相聚，露臺賞月烤肉、泡茶聊天，還可以體驗包棟當主人的樂趣！歡迎各地的朋友，一同來三峽、鶯歌遊玩，兩天一夜或三天兩夜的旅程， 讓您慢慢享樂、慢慢體驗。舒適乾淨的住宿品質，親切好客的接待之道，安全便利的交通，您不需要花大錢，不用自行開車也能輕鬆到達，【藝宿鶯歌民宿】是您外出旅遊南下北上旅程的最佳選擇！,新北市鶯歌區中湖里中湖街152巷15號,新北市,鶯歌區,886-2-26772160,121.34993500000002,24.974026000000002,,民宿,W
途中九份青旅民宿,訂房專線:0921-961263 Email:kingwangbb@gmail.com金旺民宿 距離九份老街只要一分鐘腳程，無論是逛街、購物都十分方便。它的格局是經過主人的精心設計，每一戶都有獨立的出入口，使遊客們不但出入方便自由，且私密性極高，絕不受他人打擾 。 衛生品質媲美五星級飯店水準，敬請放心入住。,新北市瑞芳區烏勢巷23號,新北市,瑞芳區,886-2-24969038,121.845968,25.108912,,民宿,E
九份愛琴海民宿,位於新北市的民宿,新北市瑞芳區汽車路79之1號,新北市,瑞芳區,886-2-24062220,121.84383500000001,25.109595000000002,,民宿,E
北國之春和風汽車旅館,北國之春和風汽車旅館座落在遠近馳名的陶藝重鎮－鶯歌，距離鶯歌老街僅5分鐘車程，在濃濃文化氣息薰陶下，散發著與眾不同的優雅氛圍， 順著指標緩緩駛入館內，別有洞天的隱密日式花園車道，有著鬧中取靜及遠離塵囂般的感覺，全館設計充滿著氣質典雅與禪意、讓人眼睛為之一亮。身穿和服的服務生親切迎接賓客到來，引領旅人進入風情萬種的悠閒國度，來趟溫馨、 愉悅之旅。 本館通過多項嚴格安全檢查之合法汽車旅館，更為顧客投保2400萬公共意外責任險，在享受悠閒時光並同時保障您的安全與權益，豪華舒適的設備與異國泡湯之樂趣讓您消除一天的疲勞。,新北市鶯歌區鶯桃路362之1號,新北市,鶯歌區,886-2-26780899,121.333863,24.963037,0.0,汽車旅館,W
巧苑民宿,,新北市瑞芳區佛堂巷43號,新北市,瑞芳區,886-9-32390427,121.822098,25.103051999999998,,民宿,E
林園村莊民宿,位於新北市的民宿,新北市瑞芳區佛堂巷62號,新北市,瑞芳區,886-2-24960575,121.841501,25.10676,,民宿,E
雅都旅社,位於新北市的旅館,新北市板橋區中興路5號2至3樓,新北市,新莊區,886-2-29682345,121.442574,25.032610000000002,,旅社,W
喬太商務旅館,位於新北市的旅館,新北市板橋區中山路2段359及361號10至12樓,新北市,板橋區,886-2-29645353,121.47965,25.019176,,飯店/旅店,W
薇星旅館,位於新北市的旅館,"新北市汐止區勤進路416號1-10樓,418號2-10樓,420號2-8樓及422號2-7樓",新北市,汐止區,886-2-26435566,121.663646,25.053373999999998,12.0,飯店/旅店,E
白水世界民宿,位於新北市的民宿,新北市烏來區環山路112號1樓,新北市,烏來區,886-2-26616720,121.548379,24.860731,0.0,民宿,S
碧潭飯店,正面眺望著碧潭美景的碧潭飯店，讓您遠離都市的喧囂，在熱情中點綴奢華，讓您煩擾紛亂的心靈得到舒解與慰藉。距離木柵考試院、動物園、烏來溫泉區僅約10分鐘車程。離台灣大學、政治大學、景文技術學院、世新大學等學區約不到15分鐘。新店寶橋、統帥、遠東等工業區及北二高安坑交流道皆近在咫尺（約5分鐘車程），緊鄰捷運《淡水-新店線》（步行可到），可利用便捷的捷運系統暢遊大台北各地。洗衣房、全館免費wifi無線寬頻上網、電腦室供商務或旅遊人士更貼心的服務。飯店無停車場，飯店前方100公尺處即有公有停車場，（如遇假日可提早停車辦理進房避開人潮時間）辦理入住時請告知櫃檯人員車號可折抵停車補助費用。住宿一間可折抵200元停車費用，休息三小時可折抵50元停車費用。,新北市新店區碧潭路121號,新北市,新店區,886-2-22116055,121.534224,24.958425,100.0,飯店/旅店,S
允誠民宿,位於新北市的民宿,新北市瑞芳區烏勢巷60之1號,新北市,瑞芳區,886-920-365366,121.84581599999999,25.108304,,民宿,E
極品旅館,位於新北市的旅館,新北市新莊區新莊路757號,新北市,新莊區,886-2-22085518,121.442574,25.032610000000002,,飯店/旅店,W
良辰美瑾民宿,離東北角福隆附近僅15分鐘車程的雙溪良辰美瑾民宿，坐落於山谷森林中，平林溪貫穿其中，民宿建在台地上，擁有極佳的視野和景觀，是一處充滿山林風味的民宿。民宿提供遊客到雙溪、福隆、平溪等景點免費接送，方便坐火車旅客四處旅遊。腳踏車專用道歡迎大家來，民宿也有提供腳踏車免費租借。,新北市雙溪區內平林60號之5,新北市,雙溪區,886-2-24934046,121.831722,25.027209,,民宿,E
幸福王國溫馨民宿,位於新北市的民宿,新北市三芝區觀海街2號,新北市,三芝區,886-2-26360458,121.510127,25.25825,,民宿,N
十分旅人民宿,位於新北市的民宿,新北市平溪區十分街170號,新北市,平溪區,886-2-24958000,121.77738500000001,25.042881,0.0,民宿,E
美麗海精品汽車旅館,位於新北市的旅館,新北市新莊區新北大道二段231號,新北市,新莊區,886-2-85225050,121.462083,25.060504,0.0,汽車旅館,W
雙禾庭園民宿,東北角中心位子，緊鄰雙溪河畔，遠看花東線太魯閣號穿梭，二日遊最佳住宿地點。,新北市雙溪區坤溪23號,新北市,雙溪區,886-2-24933260,121.87065700000001,25.030048999999998,,民宿,E
肯特商務飯店,肯特飯店位於連接台北、三重的中興橋頭是大台北地區首屈一指之商務飯店內部均以商務需求設計讓出差、洽商、休閒的旅客能感受五星級的禮遇飯店內有近百間全電腦豪華、潔淨的舒適套房，提供國際電話長途直撥與免費無限上網，另特設多項頻道視訊、DVD及免費視聽享受。客房配備採用蓆夢思名床與浴室乾濕分離明亮採光給予顧客最舒適的住宿環境。豪華舒適享受、盡在肯特飯店。飯店擁有專用停車場，35個停車位24小時專人免費代客泊車。尊爵的禮遇、寧靜的空間、貼心的服務肯特竭誠歡迎您的蒞臨,新北市三重區成功路75號,新北市,三重區,886-2-29768686,121.48901699999999,25.051198,0.0,飯店/旅店,W
艾蔓精緻旅館-土城館,艾蔓「土城館」以小豪宅概念式設計理念，以精緻為主軸，融合浪漫、溫馨與休閒的元素外，艾蔓土城館更加入低調的絕色風華，不僅房間坪數加大，而且對每一房型都予以精心設計規劃，打造出一房一國一風情的浪漫情調，除了房型氣氛的營造，讓貴客光臨每次都有不同的體驗和驚喜，真正享受放縱的新奢華空間。,新北市土城區城林路6巷18號,新北市,土城區,886-2-22673399,121.43758799999999,24.976963,0.0,飯店/旅店,W
長虹民宿,,新北市瑞芳區街頂巷87號,新北市,瑞芳區,886-2-24960301,121.845026,25.108188000000002,,民宿,E
新芝蘭民宿,,新北市三芝區蕃社后41之5號,新北市,三芝區,886-2-26368822,121.50246000000001,25.272964,,民宿,N
雅歌會館,淡水住宿．雅歌會館」位於新北市淡水區，捷運淡水站及淡水老街只需步行五~七分鐘即可抵達，前往八里、紅毛城、淡江大學、真理大學、漁人碼頭等地區皆十分便利，為一處具有交通往來方便、生活機能佳的優勢。「淡水住宿．雅歌會館」座擁交通便利與人文風情的絕佳位置，套房規劃中提供多元化的選擇，輕鬆享受一處平價、優質、貼心、親切的住宿空間。,新北市淡水區學府路36號5至7樓,新北市,淡水區,886-2-26260806,121.447946,25.169145,0.0,飯店/旅店,N
九份綠光民宿,位於新北市的民宿,新北市瑞芳區輕便路320號,新北市,瑞芳區,886-2-24967307,121.841649,25.107219,,民宿,E
九份貓窩民宿,,新北市瑞芳區輕便路58號,新北市,瑞芳區,886-2-24652082,121.838397,25.109901999999998,,民宿,E
張醫師的家民宿,位於新北市的民宿,新北市金山區中信南路2巷11號,新北市,金山區,886-2-27227768,121.596529,25.201802999999998,,民宿,N
雲仙大飯店,位於新北市的旅館,新北市烏來區烏來里瀑布路1之1號,新北市,烏來區,886-2-26616383,121.55213400000001,24.848979999999997,0.0,飯店/旅店,S
正點旅店,位於新北市的旅館,"新北市板橋區文化路1段55號1至4樓,57號3樓,59號3樓",新北市,板橋區,886-2-29684152,121.46075900000001,25.013618,0.0,飯店/旅店,W
九重町民宿,位於新北市的民宿,新北市瑞芳區基山街29號,新北市,瑞芳區,886-2-24967680,121.845453,25.109138,0.0,民宿,E
山中威尼斯民宿,一、簡介：與大自然零距離接觸。二、餐飲：毛蟹、蔡冰、海山餅店。三、經營特色：1.美式鄉村建築，玻璃屋，與大自然零距離。2.可賞螢火蟲、花、鳥、蛙、溪蝦及魚。3.當地產山藥。4.主人與客人分享綠建築、節能減碳與光害對環境的影響。,新北市雙溪區新基東街7之1號,新北市,雙溪區,886-2-24930088,121.882426,25.040079000000002,0.0,民宿,E
雅緹汽車旅館,位於新北市的旅館,新北市新莊區復興路3段8號,新北市,新莊區,886-2-22761818,121.460677,25.044378,0.0,汽車旅館,W
昇行旅,,新北市永和區竹林路161號,新北市,永和區,886-2-89250161,121.520578,25.010285,,背包客棧,W
金色小棧民宿,金色小棧青旅民宿距離瑞芳火車站僅有3分鐘的步行路程，公車站牌就在門外，於10分鐘抵達猴硐貓村，或於15分鐘巴士車程抵達九份老街。民宿一樓整層的公共空間，每晚播放電影，並提供公用電腦、漫畫、小說及報章雜誌供旅客們交友休閒使用。二樓宿舍間均設有男女分開的私人衛浴、吹風機、免費洗浴用品、空調、風扇及全館免費WIFI。,新北市瑞芳區中正路22之2號,新北市,瑞芳區,886-2-24973577,121.80825800000001,25.10716,0.0,民宿,E
九份喜來園景觀民宿,位於新北市的民宿,新北市瑞芳區汽車路9之13號,新北市,瑞芳區,886-2-24063399,121.846329,25.110767000000003,,民宿,E
佳朋樂居時尚旅店,佳朋樂居時尚旅店.位於板橋市中心 擁有便利的地理優勢鄰近南雅觀光夜市步行3分鐘 府中捷運站步行約7分鐘 鮮明的時尚風格、明亮舒適的休憩空間鬧中取靜極致紓壓的樂活享受假期時光,新北市板橋區館前西路213巷6號1至4樓,新北市,板橋區,886-2-29696635,121.45450100000001,25.008338000000002,0.0,飯店/旅店,W
生活空間民宿,位於新北市的民宿,新北市瑞芳區烏勢巷6號,新北市,瑞芳區,886-2-24965628,121.84511299999998,25.108324,,民宿,E
原宿時空膠囊旅館,原宿時空膠囊旅館是由一群熱愛旅遊且喜歡交朋友的年輕人所共同創立，在一次日本京都自助行的旅程中，體驗到日本膠囊旅館提供舒適方便的住宿環境，讓我們萌生了一個念頭：我們希望讓世界各地的朋友，以實惠的價格享受飯店般的服務與舒適的住宿品質，原宿時空膠囊旅館因此誕生，我們要打造的不只是讓旅人可以休息的地方，而是讓旅人可以探索世界跨越時空的遊樂場與秘密基地！,新北市板橋區中山路一段50巷22號地下一層,新北市,板橋區,886-2-66370603,121.461793,25.008884,0.0,背包客棧,W
福容大飯店 福隆,這裡有無垠沙灘，湛藍海水，如畫景緻，群山之間恬靜而優雅，全台獨有珍貴黃金沙灘，水量豐沛的雙溪河，是東北角重要水上基地，蘊育出多彩多姿的海洋度假氛圍。好友同歡、情侶約會、海洋婚禮、蜜月假期、親子度假，不斷的刻劃出一篇篇繽紛多彩的美好回憶！每年國際級沙雕季盛會，皆吸引國內外數十萬人次遊客朝聖。氣候怡人的秋天，騎著單車穿過舊草嶺隧道，或是來一趟草嶺古道之旅，沿途芒花盛開翩然搖曳，西風輕拂，帶來怡人舒適的享受。冬天可以享受福隆海洋溫泉，屬於海洋深層水保溼機能湯，也可選擇入住溫泉客房直接在房間內享受泡湯樂趣。一年四季來福容，一年四季玩福隆。,新北市貢寮區福隆里福隆街41號,新北市,貢寮區,886-2-24991188,121.943771,25.019018,240.0,飯店/旅店,E
矽谷溫泉會館,"當您來訪台北市時，矽谷溫泉會館所提供的優質服務與高品質住宿將帶給您賓至如歸的享受。 在這裡，旅客們可輕鬆前往市區內各大旅遊、購物、餐飲地點。 對於喜歡冒險的遊客來說，自來水園區, 捷運辛亥站, 樂華夜市再合適不過了。 矽谷溫泉會館一直致力於為您提供最尊貴的服務與一流的設施，確保您下榻飯店期間愉快、愜意。 為了給客人提供更舒適和更便利的服務，飯店配備了所有房型皆附免費WiFi, 公共區域WiFi, 停車場, 機場接送, 會議設施。 所有客房都有提供周到的設施，以確保無與倫比的舒適感。 飯店的娛樂設施相當齊全，包括健身房, 溫泉。 不管您是哪一種類型的遊客，矽谷溫泉會館都是來台北市的理想下榻飯店。",新北市新店區中正路491之1號1至16樓,新北市,新店區,886-2-22180101,121.53353100000001,24.982457999999998,0.0,飯店/旅店,S
